Symbol,CompanyName,MarketCap,StockPrice,ChangePercentage,Change1W,Change1M,Change6M,ChangeYTD,Change1Y,Change3Y,Change5Y
AAPL,Apple Inc.,"2,890.78B",183.79,1.56%,2.34%,6.50%,27.20%,41.45%,39.36%,116.99%,282.34%
MSFT,Microsoft Corporation,"2,467.47B",331.85,1.55%,-1.22%,7.41%,31.42%,38.38%,36.98%,76.76%,227.56%
GOOG,Alphabet Inc.,"1,642.17B",124.35,1.20%,-1.80%,5.45%,32.91%,40.14%,16.35%,75.99%,118.29%
AMZN,"Amazon.com, Inc.","1,298.66B",126.62,2.56%,1.01%,14.79%,39.78%,50.68%,22.09%,-0.54%,49.02%
NVDA,NVIDIA Corporation,975.21B,394.82,1.84%,0.79%,39.32%,125.16%,170.17%,152.33%,342.00%,501.45%
GOOGL,Alphabet Inc.,843.60B,123.64,1.15%,-1.88%,5.22%,32.51%,40.13%,16.21%,75.01%,115.36%
TSLA,"Tesla, Inc.",791.84B,249.83,2.22%,14.81%,48.73%,48.87%,102.82%,15.80%,300.68%,993.30%
BRK.B,Berkshire Hathaway Inc.,730.07B,333.60,-0.50%,1.53%,3.45%,7.11%,8.00%,18.48%,84.10%,70.84%
BRK.A,Berkshire Hathaway Inc.,729.50B,"509,004.00",-0.36%,1.40%,3.00%,7.39%,7.94%,19.40%,86.33%,72.66%
META,"Meta Platforms, Inc.",711.80B,271.05,2.30%,-0.13%,15.93%,136.29%,125.24%,65.01%,18.58%,40.88%
TSM,Taiwan Semiconductor Manufacturing Company Limited,555.26B,107.06,4.14%,9.19%,28.32%,33.11%,43.72%,25.14%,91.18%,173.11%
V,Visa Inc.,484.67B,226.17,1.17%,-0.26%,-2.25%,5.40%,8.86%,17.64%,17.64%,67.71%
UNH,UnitedHealth Group Incorporated,458.62B,492.59,-0.21%,-1.12%,0.28%,-9.76%,-7.09%,4.87%,72.75%,94.25%
XOM,Exxon Mobil Corporation,430.25B,106.42,-0.90%,1.07%,0.61%,0.31%,-3.52%,11.03%,125.61%,29.12%
LLY,Eli Lilly and Company,422.72B,445.31,-0.16%,0.24%,2.50%,21.26%,21.72%,52.88%,210.23%,420.89%
JNJ,Johnson & Johnson,415.54B,159.90,-0.07%,1.00%,-0.55%,-10.09%,-9.48%,-6.39%,12.49%,30.49%
WMT,Walmart Inc.,414.97B,154.10,0.66%,2.87%,0.67%,4.11%,8.68%,29.05%,30.88%,83.23%
JPM,JPMorgan Chase & Co.,412.04B,141.00,-0.01%,1.37%,5.15%,5.06%,5.15%,21.56%,41.18%,27.96%
NVO,Novo Nordisk A/S,356.04B,158.75,0.44%,0.57%,-7.31%,22.29%,17.30%,47.57%,145.71%,258.43%
AVGO,Broadcom Inc.,352.99B,855.36,6.31%,6.61%,35.52%,53.67%,52.98%,65.25%,184.88%,227.19%
MA,Mastercard Incorporated,352.86B,375.31,1.65%,1.29%,-1.73%,4.79%,7.93%,17.38%,26.03%,87.53%
PG,The Procter & Gamble Company,342.73B,145.41,-0.78%,-0.36%,-6.76%,-4.63%,-4.06%,5.26%,25.77%,88.26%
ORCL,Oracle Corporation,314.34B,116.43,5.99%,8.88%,18.99%,43.25%,42.44%,81.78%,124.51%,140.31%
HD,"The Home Depot, Inc.",302.48B,300.86,1.18%,2.65%,3.58%,-8.27%,-4.75%,6.25%,24.09%,49.45%
CVX,Chevron Corporation,298.08B,157.33,-0.96%,1.17%,0.45%,-7.32%,-12.35%,-5.98%,70.29%,23.80%
ASML,ASML Holding N.V.,288.12B,730.17,2.00%,1.10%,12.77%,19.70%,33.63%,47.93%,112.83%,248.80%
MRK,"Merck & Co., Inc.",278.76B,109.86,-0.77%,-2.87%,-6.21%,0.82%,-0.98%,29.25%,50.90%,84.39%
KO,The Coca-Cola Company,260.38B,60.21,-0.43%,-0.89%,-6.08%,-5.88%,-5.35%,-1.84%,32.04%,35.58%
PEP,"PepsiCo, Inc.",250.60B,181.90,-0.25%,-1.24%,-7.25%,-1.13%,0.69%,13.87%,41.01%,74.10%
ABBV,AbbVie Inc.,243.00B,137.73,-0.33%,0.64%,-6.40%,-16.69%,-14.78%,-1.21%,48.96%,39.25%
BAC,Bank of America Corporation,232.14B,29.13,-0.48%,2.07%,7.53%,-11.00%,-12.05%,-9.03%,17.55%,-2.58%
COST,Costco Wholesale Corporation,230.87B,520.97,0.71%,0.52%,3.35%,6.83%,14.12%,15.20%,74.41%,154.28%
AZN,AstraZeneca PLC,228.92B,73.85,-0.28%,0.89%,-1.18%,6.60%,8.92%,23.06%,43.48%,104.23%
PFE,Pfizer Inc.,225.25B,39.90,2.39%,3.23%,6.83%,-23.50%,-22.13%,-16.72%,24.61%,15.85%
BABA,Alibaba Group Holding Limited,220.02B,85.86,0.42%,1.73%,0.61%,-3.97%,-2.53%,-12.85%,-60.55%,-58.93%
ADBE,Adobe Inc.,217.71B,474.63,4.54%,9.32%,41.49%,40.35%,41.04%,27.71%,16.75%,87.91%
BHP,BHP Group Limited,214.82B,59.52,-0.23%,2.85%,2.08%,-5.66%,-4.08%,-2.12%,33.42%,30.47%
NVS,Novartis AG,211.96B,100.00,-0.92%,0.63%,-3.04%,10.04%,10.23%,21.17%,18.55%,31.86%
MCD,McDonald's Corporation,210.68B,288.57,0.62%,0.05%,-2.56%,4.32%,9.50%,21.01%,52.55%,73.08%
CRM,"Salesforce, Inc.",208.13B,213.69,-0.75%,1.83%,5.89%,60.54%,61.17%,28.71%,22.03%,56.83%
