No.,Symbol,Company Name,Views,Market Cap,% Change,Volume
1,TSLA,"Tesla, Inc.",287,791.84B,2.22%,"143,755,690"
2,AAPL,Apple Inc.,184,"2,890.78B",1.56%,"35,485,309"
3,ASST,Asset Entities Inc.,126,27.60M,75.65%,"89,821,338"
4,NVDA,NVIDIA Corporation,111,975.21B,1.84%,"33,870,753"
5,AMZN,"Amazon.com, Inc.",110,"1,298.66B",2.56%,"40,149,568"
6,YS,"YS Biopharma Co., Ltd.",78,115.39M,-7.46%,"6,039,687"
7,AMD,"Advanced Micro Devices, Inc.",68,208.04B,3.42%,"80,225,028"
8,MANU,Manchester United plc,58,3.28B,3.98%,"1,660,090"
9,PLTR,Palantir Technologies Inc.,57,33.15B,4.19%,"88,864,493"
10,MSFT,Microsoft Corporation,48,"2,467.47B",1.55%,"16,913,072"
11,ZJYL,Jin Medical International Ltd.,47,105.60M,54.75%,"5,593,511"
12,SOFI,"SoFi Technologies, Inc.",46,8.62B,11.98%,"113,273,449"
13,FNCH,"Finch Therapeutics Group, Inc.",45,18.46M,-,"971,050"
14,INTC,Intel Corporation,42,137.93B,5.52%,"49,591,383"
15,META,"Meta Platforms, Inc.",41,711.80B,2.30%,"12,684,656"
16,CCL,Carnival Corporation & plc,40,19.18B,12.45%,"125,504,667"
17,GOOGL,Alphabet Inc.,37,843.60B,1.15%,"21,379,378"
18,BABA,Alibaba Group Holding Limited,35,220.02B,0.42%,"11,169,765"
19,MULN,"Mullen Automotive, Inc.",35,109.14M,-10.65%,"61,913,764"
20,PLUG,Plug Power Inc.,35,6.23B,13.09%,"36,900,631"
