No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
1,FRZA,"Forza X1, Inc.",-47.44%,1.64,"4,686,835",17.14M
2,BENF,Beneficient,-19.83%,6.63,"462,483",236.87M
3,TIO,"Tingo Group, Inc.",-18.31%,0.96,"28,883,974",158.13M
4,RACY,Relativity Acquisition Corp.,-15.83%,12.28,"46,417",54.04M
5,OMER,Omeros Corporation,-14.53%,6.41,"1,147,921",402.73M
6,BAOS,Baosheng Media Group Holdings Limited,-13.67%,8.02,"329,793",12.31M
7,APRN,"Blue Apron Holdings, Inc.",-13.63%,7.73,"3,440,460",46.81M
8,EIGR,"Eiger BioPharmaceuticals, Inc.",-13.45%,0.90,"616,943",39.87M
9,CJET,"Chijet Motor Company, Inc.",-12.97%,3.96,"761,846",102.58M
10,UPXI,"Upexi, Inc.",-12.90%,2.43,"435,525",43.97M
11,UPH,"UpHealth, Inc.",-12.74%,1.37,"168,382",22.99M
12,OCUL,"Ocular Therapeutix, Inc.",-12.52%,6.50,"4,696,533",503.91M
13,TRNR,Interactive Strength Inc.,-12.07%,4.59,"184,788",35.13M
14,HOOK,HOOKIPA Pharma Inc.,-11.84%,0.89,"2,299,974",48.72M
15,NDAQ,"Nasdaq, Inc.",-11.81%,51.00,"15,459,315",25.03B
16,MGOL,MGO Global Inc.,-11.79%,2.02,"6,732,922",28.77M
17,SNOA,"Sonoma Pharmaceuticals, Inc.",-11.43%,1.24,"1,190,134",5.77M
18,BBLG,Bone Biologics Corporation,-11.33%,4.93,"93,338",2.74M
19,AKLI,"Akili, Inc.",-11.27%,1.26,"422,087",98.48M
20,UCAR,U Power Limited,-11.21%,6.97,"838,721",367.87M
